Brand,Vehicle_Type,Title,Fuel Type,Engine (cc),Condition,Gear,Price,Location,Mileage,Options,More_Details,Listing_URL
Suzuki,SUV,Suzuki Xbee 2018 SUV (Used),Hybrid,1000,Registered (Used),Automatic,"Rs. 8,000,000",Kandy,"61,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","SUZUKI XBee 2019
——————————-
MAKE         : SUZUKI
MODEL      :  X Bee
Y.O.M         :  2018
Y.O.R          :  2019
TR/MN       : AUTOMATIC
COLOUR.  : BLACK 
ENG CAP.  : 1000cc TURBO       HYBRID 
MILEGE     : 61000KM

🔘 CBH- ****
🔘 3RD OWNER (Registered)
🔘 INTERIOR CONDITION 💯
🔘 EXTERIOR CONDITION 💯
🔘 💯ORIGINAL BODY
🔘 💯 ORIGINAL PAINT 
🔘 PUSH START
🔘 ORIGINAL 01 SMART KEY
🔘 PADDLE SHIFT
🔘 REAR WIPER
🔘 SEAT HEATERS
🔘 SCOOP HEAD LIGHTS
🔘 RIVERSE CAMERA
🔘 6AIR BAG
🔘 FOG LIGHTS
🔘 ORIGINAL ALLOYS
🔘 WINKER MIRROR
🔘 SERVICE RECORDS AVAILABLE (AMW Maintained)
🔘 💯 ACCIDENT FREE
🔘 💯 GENUINE MILAGE 
* ⁠ANDROID PLAYER 
* ⁠FUEL EFFICIENCY AVERAGE 17Km/L
* ⁠ENGINE TUNE UP DONE(Magcity) 
* ⁠NEW TYRES
* ⁠NEW BATTERY (warranty available)",https://riyasewana.com/buy/suzuki-xbee-sale-kandy-11697916
Honda,SUV,Honda Vezel Z Play 2025 SUV Brand New,Hybrid,1500,Brand New,Automatic,"Rs. 20,500,000",Matale,800 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Vehicle Overview
Model Grade: Z Play moon Roof (Highest Grade / Fully Loaded)
Condition: Unregistered (Almost Brand New)
Mileage: 900 Km Only
Powertrain: 1.5L Petrol + Hybrid

🎨 Exterior & Styling
Color: Two-Tone Pearl White & Black Roof
Wheels: 18"" Alloy Wheels
Lighting: LED Headlamps

🛋️ Interior & Comfort
Seating: Two-Tone Semi-Leather Interior
Front Seats: Heated & Memory Front Seats
Climate: Digital Climate Control
Roof: Dual Moon Roof

🛡️ Safety & Driver Assistance (Honda Sensing)
Airbags: 8 Airbags
Cruise Control: Adaptive Cruise Control
Lane Safety: Lane Departure Warning
Braking: Automatic Emergency Braking
Cameras: Multiview / 4-Way Camera System

🔑 Convenience & Tech
Access: Keyless Entry & Push Start
Tailgate: Hands-Free Power Tailgate
Connectivity: Apple CarPlay & Android Auto / Wireless Charging
Audio: Premium Surround Sound System with Subwoofer
Including 3D Carepet,Sefty Stickers Dicky Carpet",https://riyasewana.com/buy/honda-vezel-z-sale-matale-11697900
Toyota,SUV,Toyota Raize 2025 SUV (Used),Petrol,1200,Registered (Used),Automatic,Negotiable,Gampaha,"6,900 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","1st owner, z grade, fully patrol 1200 cc car. Apple player, 4 way cameras, only one service done in Toyota Lanka company , like a brand new car. Leasing can 60% in price. Exchange consider.",https://riyasewana.com/buy/toyota-raize-sale-gampaha-11697888
Toyota,SUV,Toyota Raize 2025 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 12,175,000",Colombo,"8,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Raize 2025
Registered CBP-7XXX (Special Number)
Mileage : 8,000km
Colour : Metallic Grey
Brand new with Toyota Lanka warranty 
Engine : 1,000cc turbo
Multi function steering with paddle shift
Zunavi Android Player with SIM connectivity 
17-inch alloy wheels with the spare
SOCOOL & Nano Ceramic Tint with 10-years warranty 
Plastic Protection with 1-year warranty 
Custom leather steering wrap
Custom 3M Coil Carpets
3M door edge and PPF head light protection 
Rat Guard Protection (Mesh & Device)
Door Visor
Smoked DRL and Winker Mirror lights

Available for inspections at Athurugiriya 
Negotiable after inspection.
All protection and modifications done by the registered owner. Only to buy and drive.",https://riyasewana.com/buy/toyota-raize-sale-colombo-11697856
Mitsubishi,SUV,Mitsubishi Pajero GDI Io 1999 SUV (Used),Petrol,1830,Registered (Used),Automatic,"Rs. 5,985,000",Kurunegala,"182,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Pajero GDI Mint Condition Vehicle 1999/2001

*Auto Gear
*3rd Registered Owner
*Paint/Body/Running 100%
*Original Millage: 182,000km
*14years emission record available

Original Condition Vehicle for Sale
☎️ 0771667292
💰59/85 (මිල සාකච්චා කරගත හැක)",https://riyasewana.com/buy/mitsubishi-pajero-gdi-sale-kurunegala-11697821
Toyota,SUV,Toyota Harrier 2025 SUV Unregistered (Recondition),Petrol,-,Unregistered (Recondition),Automatic,Negotiable,Colombo,"2,600 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🔥 2025 TOYOTA HARRIER Z LEATHER PACKAGE 🔥

✅ 2025 Manufactured 
✅ Only 2,600 KM
✅ Pearl White
✅ 2WD
✅ Grade 5 Auction Condition
✅ JBL Premium Sound System
✅ Panoramic View Monitor
✅ Digital Inner Mirror
✅ Panoramic Sunroof
✅ Power Back Door
✅ Heated & Ventilated Seats
✅ Toyota Safety Sense + BSM + HUD
✅ Modellista GRAN BLAZE Style Kit

Luxury • Comfort • Sporty Styling • Like",https://riyasewana.com/buy/toyota-harrier-sale-colombo-11697818
Toyota,SUV,Toyota Raize Z BSM 2020 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 11,195,000",Gampaha,"99,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🛑TOYOTA RAIZE Z 1000cc
🛑 AUTO PARKING 
🛑 BLIND SPOT MONITOR 
🛑ORIGINAL 4WAY CAMARA APPLE CAR PLAYR
🛑ORIGINAL BLACK TOP


•⁠ Mileage 99000 Km
 ALL SERVICE RECORDS 
TOYOTA LANKA COMPANY 

•⁠ Manufacture Year 2020
    Register. 2021

•⁠ Original Sound System

•⁠ Safety Brake Package (CMBS)

•⁠ Push Start and Smart Key

•⁠ Cruise Control

•⁠ Blind Spot Monitoring

•⁠ Multifunction Stering

•⁠ Parking Sensors

•⁠ Auto Headlights

•⁠ 8 Air Bags

•⁠ Auto Mirror Folding

•⁠ RPM Meter

•⁠ Seat Heaters

•⁠ 17 inch Alloy Wheels

•⁠ LED Scoop Lights

•⁠ Auto Hold Parking Brake System

•⁠ Lane Departure Warning System

100% original paint 
Accident free
CALL MOER INFORMATION 
LOCATION GAMPAHA/YAKKALA

EXCHANGE POSSIBLE 
FINANCE CAN BE ARRANGE 
(RS 7500000/=)
3.5 M DOWN PAYMENT ONLY",https://riyasewana.com/buy/toyota-raize-z-sale-gampaha-11697772
Land-Rover,SUV,Land-Rover Discovery 4 2013 SUV (Used),Diesel,3000,Registered (Used),Automatic,Negotiable,Matara,"112,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Home used vehicle, company maintained, All records are available, good condition.",https://riyasewana.com/buy/land-rover-discovery-4-sale-matara-11697734
Toyota,SUV,Toyota CHR GT TURBO 2018 SUV (Used),Petrol,1200,Registered (Used),Automatic,Negotiable,Negombo,"117,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota CHR GT Turbo Blacktop
2018 Manufactured 
2018 Registered (VIP NUMBER)
2nd Owner
117,000KM
FULL SERVICE HISTORY AVAILABLE",https://riyasewana.com/buy/toyota-chr-gt-sale-negombo-11697733
Kia,SUV,Kia Sorento 2004 SUV (Used),Petrol,3500,Registered (Used),Automatic,"Rs. 5,600,000",Kegalle,"178,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","• Kia Sorento 2004
☎️ - 074 142 7385
• Full option 
• 177,680 km Done
• Clear documents
• V6 3.5  L 
• anroid player 
• Smooth automatic 4WD
( electric seats, sunroof , power steering )

Features  : climate control , alloy wheels , and ample boot space 

• Running conditions 💯
• Price can be negotiable , exchange possible",https://riyasewana.com/buy/kia-sorento-sale-kegalle-11697722
Mitsubishi,SUV,Mitsubishi Outlander PHEV 2015 SUV (Used),Petrol,2000,Registered (Used),Automatic,Negotiable,Kandy,"128,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Home used vehicle, 4 WD, company maintained, All records are available, Good condition, new tires",https://riyasewana.com/buy/mitsubishi-outlander-phev-sale-kandy-11697711
Toyota,SUV,Toyota CHR 2017 SUV (Used),Petrol,-,Registered (Used),Automatic,Negotiable,Gampaha,"120,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota CHR NGX 50 - 2017
මුලික ගෙවීම  –2,675,000.00
Speed Draft – 11,000,000.00
Monthly Interest – 150,000.00
අමතන්න - 0767587798
Location - Yakkala 
Petrol, CAX – XXXX , 
Good Condition
ලීසිං ගෙවාගෙන යාමට පමණි
ලිසිං ඇති බැවින් එය ගෙවාගෙන යාමට ලබා දෙමි",https://riyasewana.com/buy/toyota-chr-sale-gampaha-11697704
Honda,SUV,Honda CRV Australian Spec 2018 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 17,500,000",Colombo,"82,250 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Honda CR-V 2018 (Australian Spec) – Pristine Condition!



- Brilliant White Exterior with Premium Grey/Black Fabric Interior


- YOM /YOR : 2018


- Genuine Mileage : 82,250km


- Engine : Efficient 2.0L / 1.5L VTEC Turbo


- Transmission: Smooth Automatic with Front-Wheel Drive / AWD


- Features: Dual-Zone Climate Control, Multi-Angle Reverse Camera with Guide Lines, LED Daytime Running Lights (DRLs), 7-Inch Touchscreen Infotainment, Bluetooth Connectivity, Cruise Control, LaneWatch Blind Spot Monitoring, 5-Seater/7-Seater Configuration, Electric Parking Brake, Brake Hold.


- Condition: Vehicle is in showroom condition with a documented service history.",https://riyasewana.com/buy/honda-crv-australian-sale-colombo-11697681
Mahindra,SUV,Mahindra KUV 100 2020 SUV (Used),Petrol,1000,Registered (Used),Manual,Negotiable,Gampaha,"95,850 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",,https://riyasewana.com/buy/mahindra-kuv-100-sale-gampaha-11697676
Daihatsu,SUV,Daihatsu Terios 2007 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 6,375,000",Colombo,"190,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Daihatsu TERIOS
2007

2nd Owner
Auto
190000 km done 
Button 4×4 wheel
Fog Lamps
Original Alloys
Android Setup with Reverse Camera 
Genuine mileage
Maintenance Records Available
Price Can be negotiate
Pamankada.",https://riyasewana.com/buy/daihatsu-terios-sale-colombo-11697674
Honda,SUV,Honda Vezel Z Play 2026 SUV Brand New,Hybrid,1500,Brand New,Automatic,Negotiable,Kandy,-,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Vezel z play 
2026 
Brand new 
0 mileage 
4 way camera 
10 speaker sound system
Moon roof 
And mang more options",https://riyasewana.com/buy/honda-vezel-z-sale-kandy-11697668
Kia,SUV,Kia Sorento 1-12 2012 SUV (Used),Diesel,2200,Registered (Used),Automatic,"Rs. 12,975,000",Colombo,"122,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","KIA SORENTO 2012 DIESEL MINT CONDITION 
• 1 TO 12 OPTION
• PUSH START
• CRUISE CONTROL
• ELECTRIC SEAT
• ALL WHEEL DRIVE
• THIRD ROW A/C
• SUNROOF / MOONROOF
• HEADLIGHT WASHERS
• DOWNHILL ASISST
• TRACTION CONTROL
• DUAL MULTI-FUNCTION STEERING
• AUTO RETRACTABLE WINKER MIRRORS
• FOG LIGHTS
• SCOOP LIGHTS
• REAR WIPER
• TAN LEATHER INTERIOR
• NICKEL DOOR HANDLES
. ANDROID SETUP 
. REVERSE CAMERA 
• 2200 CC DIESEL
•  ALLOY WHEELS 
. 8 AIR BAGS 
. 3M TINTED 
• 122000 KM GENUINE MILEAGE (RECORDS AVAILABLE)
PAMANKADA.",https://riyasewana.com/buy/kia-sorento-1-12-sale-colombo-11697662
Land-Rover,SUV,Land-Rover Range Rover P400e LWB 2019 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 82,500,000",Colombo,"78,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Range Rover Vogue Autobiography P400e LWB Comfort Plus – Executive class (Full Spec!) 


* YOM / YOR: 2019 / 2019
* Fuji White with Dark Espresso Premium Autobiography Leather interior, Wood Veneer finishes & exquisite detailing
* Genuine Mileage: 48,000 miles | 78,000km 
* Powered by a 2.0-litre turbocharged petrol engine combined with an advanced electric motor (Plug-in Hybrid)
* Long Wheelbase (LWB) configuration offering exceptional rear passenger comfort & legroom
* Front & rear heated and cooled seats with massage function
* Electrically adjustable seats with memory (front & rear)
* Four-zone automatic climate control
* Ambient interior lighting
* Panoramic sliding glass sunroof
* Touch Pro Duo dual-screen infotainment system
* Meridian™️ premium surround sound system
* Digital driver display & Head-Up Display
* Keyless entry & push-button start
* Adaptive air suspension
* Terrain Response system
* Advanced driver assistance systems (lane assist, blind-spot monitoring, adaptive cruise control)
* 360° surround camera with front & rear parking sensors
* Soft-close doors & powered tailgat",https://riyasewana.com/buy/land-rover-range-rover-sale-colombo-11697643
Mahindra,SUV,Mahindra KUV 100 2020 SUV (Used),Petrol,1000,Registered (Used),Manual,Negotiable,Gampaha,"95,850 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR""]",2 owner hodama thathwaye pawathi adupadu kisiwak na,https://riyasewana.com/buy/mahindra-kuv-100-sale-gampaha-11697640
Tata,SUV,Tata Curvv 2025 SUV (Used),Petrol,1200,Registered (Used),Automatic,"Rs. 12,900,000",Colombo,"17,000 km","[""AIR CONDITION""]","Curve TATA

🚘 BRAND NEW CONDITION   2025 TATA CURVE - ACCOMPLISHED S (AUTOMATIC)
	◦	💰 12,900,000/=

🔥 Premium Technology | Coupe-SUV Design | Unmatched Value 🔥

⸻

🚀 KEY SPECIFICATIONS

🔹 Condition - Used (DIMO Maintained ) 
🔹 Mileage - 17,500 km 
🔹Engine: 1.2L Revotron Turbo Petrol (1200cc)
🔹 Transmission: 7-Speed Automatic
🔹 Fuel Efficiency: Approx. 10–18 kmpl*
🔹 Ground Clearance: 208 mm – Built for Sri Lankan roads
🔹 Boot Space: 500L – Spacious & practical
🔹 Alloy Wheels | Panoramic Sunroof

⸻

💎 PREMIUM FEATURES

✨ Panoramic Sunroof with Ambient Lighting
✨ Premium Interior with Leather Seats
✨ 10.25” Touchscreen Infotainment with Harman Audio
✨ Android Auto & Apple CarPlay
✨ Wireless Phone Charger
✨ Keyless Entry & Push-Button Start
✨ Cruise Control
✨ Automatic Climate Control
✨ LED DRLs & Fog Lamps
✨ Blind Spot Monitoring

⸻

🛡️ SAFETY – CLASS LEADING

✔ 6 Airbags
✔ ABS with EBD
✔ 360° Surround View Camera
✔ Rear Parking Sensors & Camera
✔ Hill Hold Assist
✔  Cruise Control

⸻
📜 Under Warranty:
5 Years / 150,000 km (whichever comes first)


📞 Call DHANURJAYA 
📱 0 7 12303558 

#TataCURVV #AccomplishedS #CoupeSUV #NewLaunch2025
#PremiumSUV #TataMotors #DIMO #DriveWithPride 🚗✨",https://riyasewana.com/buy/tata-curvv-sale-colombo-11678603
Peugeot,SUV,Peugeot 3008 2018 SUV (Used),Petrol,1200,Registered (Used),Automatic,"Rs. 13,500,000",Gampaha,"140,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Mint condition .
Condition: Used

*   Mileage: 140570 km


*   Transmission: Automatic

*   Body Type: SUV-4x4Brand:

Peugeot

Model:

3008

Trim / Edition:

GT Line

Year of Manufacture:

2018

Condition:

Used

Transmission:

Tiptronic

Body type:

SUV / 4x4

Fuel type:

Petrol

Engine capacity:

1200 cc

Mileage:

140000 km

Description

Superb condition Peugeot 3008 GT Line for quick sale. 



● Manufactured in 2018. 02st owner. Mileage 140000km only. 



● Imported by Agents Car Mart & service / maintenance done right on time from them.



● Push Start Smart entry with both keys.



● Ultimate Red & Black Two-tone exterior Genuine Black Leather  interior.



● GT-Line premium package with i-cockpit & Allure trim. 



● 1200cc Petrol Turbo engine with 6 speed Tiptronic gears/ Paddle shift. 



● Electrically operated Driver seat with memory function 


● Panaromic Sun / Moon roof rear power boot with motion sensors. 



● Emergency Brake system LDA Adaptive Cruise control 



● Two spoke futuristic Flat bottom  sports Steering wheel with steering controls.



● Blind Spot monitor 4-way Camera Active parking assist. 



● Focal sound system with 8 speakers in built Air freshener selection. 



● Dusk sensitive intelligent auto head lights  cornering  lights Ambient Lights Rain sensing wipers.",https://riyasewana.com/buy/peugeot-3008-sale-gampaha-11695430
Hyundai,SUV,Hyundai Santa Fe 2003 SUV (Used),Petrol,2400,Registered (Used),Manual,"Rs. 3,600,000",Kegalle,"255,379 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER WINDOW""]","Key Details:
Condition: Used
Mileage: 255,379 km
Transmission: Manual
Body Type: SUV / 4x4
Engine Capacity: 2700cc
Fuel Type: Petrol

Features:
Android player
Reverse camera
Air conditioning (AC)
Good running condition
Spacious interior
Comfortable driving experience

💰 Price negotiable

📞 Contact:  0714712593",https://riyasewana.com/buy/hyundai-santa-fe-sale-kegalle-11678104
Hyundai,SUV,Hyundai Tucson 2012 SUV (Used),Diesel,2000,Registered (Used),Automatic,Negotiable,Kandy,"105,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Low mileage vehicle with genuine mileage records — currently at 105,000 km. All maintenance and servicing have been carried out by the company, and complete service records and bills are available. The last service was done at 105,000 km.

This is a 2nd owner vehicle and is in excellent condition with no repairs or additional work needed.

If you are genuinely interested, please call between 8.00 AM and 9.00 PM only. Kindly avoid calling for unreasonable bargains, as I am not prepared to negotiate a large amount.",https://riyasewana.com/buy/hyundai-tucson-sale-kandy-11512619
Micro,SUV,Micro Rexton W 2016 SUV (Used),Diesel,2000,Registered (Used),Automatic,"Rs. 11,500,000",Dehiwala-Mount-Lavinia,"138,500 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","- Good condition SUV (Rexton W/ high spec) for quick sale
- No any repairs to done
- All service records available 
- Vehicle exchanges can be considered 
- Down payment 3.25 M. only
- Leasing can be arranged with in one day
- Manu. -2016 / Reg. - 2016
- 2 ñd registered owner
- Electrical programing seats
- 7 seater
- Black leather interior 
- Front & Rear seat heaters
- Cruise control 
- Sun roof
- Optional 4 wheel drive
- Dual multifunction steering wheel",https://riyasewana.com/buy/micro-rexton-w-sale-dehiwala-mount-lavinia-11697616
Honda,SUV,Honda Vezel 2023 SUV (Used),Hybrid,1500,Registered (Used),Automatic,"Rs. 16,900,000",Maharagama,"56,000 km",[],,https://riyasewana.com/buy/honda-vezel-sale-maharagama-11697588
Kia,SUV,Kia Sportage 2007 SUV (Used),Diesel,2000,Registered (Used),Automatic,"Rs. 5,950,000",Kandy,"170,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Full option auto with triptronic, beige interior leather and fabric, R / key, R / camera, alloy wheels with new Tyres, roof railings, side steps, good condition.",https://riyasewana.com/buy/kia-sportage-sale-kandy-11697575
Mitsubishi,SUV,Mitsubishi Pajero 2000 SUV (Used),Petrol,2000,Registered (Used),Manual,"Rs. 1,500,000",Ratnapura,"10,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",91000*56  Gewimata Etha.,https://riyasewana.com/buy/mitsubishi-pajero-sale-ratnapura-11697537
Toyota,SUV,Toyota Taisor V 2026 SUV Brand New,Petrol,1000,Brand New,Automatic,"Rs. 11,950,000",Kandy,-,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Just cleared 
Highest grade V
2026 brand new 
Price negotiable",https://riyasewana.com/buy/toyota-taisor-v-sale-kandy-11523170
Toyota,SUV,Toyota CHR 2018 SUV (Used),Petrol,1190,Registered (Used),Automatic,"Rs. 13,500,000",Divulapitiya,"117,962 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",,https://riyasewana.com/buy/toyota-chr-sale-divulapitiya-11697309
Honda,SUV,Honda Crv 2018 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 16,200,000",Colombo,"120,000 km",[],"Honda Crv 
2nd owner Push start
Full option 
Sunroof 
7 seater 
White color",https://riyasewana.com/buy/honda-crv-sale-colombo-11697508
Toyota,SUV,Toyota RAV4 G Grade 2013 SUV (Used),Petrol,2360,Registered (Used),Automatic,"Rs. 9,975,000",Nugegoda,"146,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","******** VEHICLE EXCHANGE POCEBLE 
Auto Transmission 
Trip Tronic 
Push Start       A-Z Toyota Company Maintenance Full Service Record Available 
Multifunction 


Sun Roof            Toyota Company Maintenance 
Cruise Control 
1st Owner 
Auto Ac 
8th Airbags 
Abs Brake 
Power Steering 
Power Windows 
Airbags 

Power Mirrors 
Recat Mirrors 
Winker Mirrors 
Alloy Wheels 
Fog Lights 
Led Scoops Head Lights 

One  Day Leasing Can Be Arranged 

Full Service Record Available 

Vehicle Can Be Seen At SAMEERA@PRIYANKARA Auto Mart No 335  Sunethradevi Road Kohuwala",https://riyasewana.com/buy/toyota-rav4-g-sale-nugegoda-11697507
Suzuki,SUV,Suzuki XBEE MZ 2024 SUV (Used),Hybrid,1000,Registered (Used),Automatic,Negotiable,Dehiwala-Mount-Lavinia,"10,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","🚗 SUZUKI XBEE MZ TURBO - BROWN LEATHER ACCENT PACKAGE 🚗

Year: 2024
Registered: 2026  
Mileage: 10,000km
Documents: Auction Sheet & Import Documents Available
Color: Light Khaki Green with White Top
Engine: 1000cc Turbo

Features:
7inch Infotainment System
Sport Mode
Brown Leather Seats with Seat Heaters
Paddle Shifters with Cruise Control
Factory Fitted Surround Sound System
Navigation System
Rear Camera with Factory Fitted Dash Camera
16inch Facelifted Alloy Wheels
Many More Options

Contact: 0777954375 / 0772660529 😊",https://riyasewana.com/buy/suzuki-xbee-mz-sale-dehiwala-mount-lavinia-11697460
Suzuki,SUV,Suzuki Xbee 2024 SUV (Used),Hybrid,1000,Registered (Used),Automatic,"Rs. 10,200,000",Boralesgamuwa,"35,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","__SUZUKI XBEE MZ 2024__

|35000KM|

__Features__

•Push Start / Keyless Entry 
•LED headlights 
•Adaptive Cruise Control
•Dual Camera Brake Support
•Lane Departure Warning
•360 Camera 
•Heated Seats
•Paddle Shift
•Automatic Climate Control
•Apple CarPlay / Android Auto
•Alloy Wheels
• Driving Modes(Snow / Sport)
•ABS
•ESP / Stability Control
•Multiple Airbags
•Parking Sensors
•Hill Hold Control
•Traction Control

📞 Call/WhatsApp: 078 417 9999
📍 Visit our showroom: No. 75/B, 10th Mile Post, Katuwawala, Borelasgamuwa.

For further details, contact us or visit our showroom.",https://riyasewana.com/buy/suzuki-xbee-sale-boralesgamuwa-11697455
Kia,SUV,Kia Stonic 2020 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 9,975,000",Nugegoda,"37,850 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","KIA STONIC 2020 – UNMATCHED CONDITION | EXTREMELY LOW MILEAGE

💎 Only 37,850 km driven – Genuine low mileage, meticulously maintained
💎 Two-Tone Sports Aesthetics – Eye-catching vibrant yellow body with a sleek factory black roof
💎 Punchy & Efficient – 1.0L Turbocharged engine offering the perfect balance of power and fuel savings
💎 Urban Luxury – The ultimate compact SUV for city commutes and weekend getaways
🚗 Vehicle Details

    Model: Kia Stonic

    Year of Manufacture: 2020

    Engine: 1.0L Turbo Petrol (1000cc)

    Transmission: 7-Speed Automatic

    Mileage: 37,850 km (Genuine)

    Registration: WP CBM-XXXX

    Condition: Mint, showroom condition interior and exterior

✨ Key Features

✔ Smart Connectivity: Apple CarPlay & Android Auto with factory touchscreen infotainment
✔ Driver Assistance: Reverse camera with dynamic guidelines + parking sensors
✔ Premium Cockpit: Multifunction steering wheel with cruise control
✔ Convenience: Keyless entry & Push Start
✔ Climate Control: Automatic digital climate control setup
✔ Styling: Two-tone exterior paint, factory alloy wheels, Roof rails, and sleek LED Daytime Running Lights (DRLs)
✔ Practicality: Spacious cabin with 60:40 split-folding rear seats and ample boot space
🔹 Advanced Tech & Safety

    Idle Stop & Go (ISG): Shuts off the engine at traffic lights to maximize fuel economy

    Tyre Pressure Monitoring System (TPMS)

    Electronic Stability Control (ESC) & ABS

    Multiple Airbags for complete passenger safety

⛽ Performance & Economy

    Highly responsive 1.0L T-GDI engine delivers impressive acceleration when needed.

    Exceptional fuel efficiency (Approx. 14–16 km/l in city traffic / 18+ km/l on long runs).

📍 Deal Details

    Location: Nugegoda

    Price: LKR 9,975,000 (Negotiable upon inspection)

    Contact / WhatsApp: 0777721407",https://riyasewana.com/buy/kia-stonic-sale-nugegoda-11697450
Toyota,SUV,Toyota Raize Z BSM 2025 SUV (Used),Hybrid,1200,Registered (Used),Automatic,"Rs. 13,990,000",Colombo,"18,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Raize Z Grade 1200cc Hybrid BSM Fully Loaded 2025

Registered
1st Owner
18000KM Mileage 
Pearl White Black Top
BSM (Blind Spot Monitor)
1200cc Hybrid
Auction Grade S
Year of Manufacture-2025
Year of Registration-2025
Apple CarPlay 
Dual Multi-Function
Black & Red two-tone interior
Driver seat vertical adjuster
360° Camera (4WAY)
LED Digital Speedometer
Multi Information Display
Four Display Styles
17"" Original Alloy wheels
Anti-locking Braking System (ABS)
Hill Start Assist Control (HAC)
Vehicle Stability Control (VSC)
Tire Pressure Warning System (TPWS)
Adaptive Cruise Control
Fog lights
Rear Wiper
Retractable Winker Mirrors

Exchanges Can Be Considered

Price 13,990,000/=
Slightly Negotiable",https://riyasewana.com/buy/toyota-raize-z-sale-colombo-11697439
Kia,SUV,Kia Stonic 2020 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 9,800,000",Kandy,"79,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]",1st owner so room condition location kandy service records available negotiable 0777812811,https://riyasewana.com/buy/kia-stonic-sale-kandy-11697427
Toyota,SUV,Toyota CHR 2017 SUV (Used),Petrol,1200,Registered (Used),Automatic,"Rs. 13,200,000",Hambantota,"78,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Good condition car with all the high specifications including radar assistant cruise control, lane departure system, auto headlights and other all features 

All new dunlop tyres (costs 380000)
New Batry (Amron)

Slightly negotiable. Call original buyers",https://riyasewana.com/buy/toyota-chr-sale-hambantota-11697426
