title,Brand_Cleaned,Model_Cleaned,Storage_GB,RAM_GB,Connectivity_Cleaned,Screen_Size,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Samsung Galaxy S10 Lite 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124870.0
Samsung Galaxy S10 LITE 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103480.0
Samsung Galaxy A11 PLUS 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99480.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59807.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45810.0
Samsung Galaxy S10 LITE 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124668.0
Samsung Galaxy S11 12GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,209580.0
Samsung Galaxy S10 LITE 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124447.0
Samsung Galaxy S11 ULTRA 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,329805.0
Samsung Galaxy S11 ULTRA 5G 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,379480.0
Samsung Galaxy S11 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,239180.0
Samsung Galaxy S10 FE Plus 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,179480.0
Samsung Galaxy S10 Fe Plus 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,156480.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,152480.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,114950.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59485.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45801.0
Samsung Galaxy S10 LITE 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103480.0
Samsung Galaxy A11 PLUS 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99805.0
Apple iPad Pro 2018 11 Inch,Apple,Ipad Pro,64.0,4.0,WiFi / Standard,11 Inch,Used,Kandy,60000.0
TCL 14.3 Tablet,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,145000.0
Apple iPad Air 7 M3 11-Inches,Apple,Ipad Air,64.0,4.0,WiFi / Standard,11 Inch,Used,Colombo,209000.0
Samsung Tab S6 Lite,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kandy,65000.0
Lenovo Idea Tab 8GB RAM 256GB,Lenovo,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Used,Colombo,68000.0
Lenovo Idea Tab 8GB RAM 256GB,Lenovo,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Used,Colombo,68000.0
Xiaomi Redmi Pad 2 4G SIM 8GB/256GB,Xiaomi,Redmi Pad,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Kandy,99990.0
Apple iPad 9th Generation,Apple,Ipad 9,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Jaffna,65000.0
Blackview Tab 60 Pro,Blackview,Tab 60,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Galle,25000.0
Blackview Tab 90 16GB + 128GB | 10.92,Blackview,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Used,Other,40000.0
Apple IPad Pro M5 11 Inch 256GB WIFI,Apple,Ipad Pro,256.0,8.0,WiFi Only,11 Inch,Brand New,Colombo,398990.0
Apple iPad Air 8 M4 13inch 256GB WIFI,Apple,Ipad Air,256.0,8.0,WiFi Only,13 Inch,Brand New,Colombo,354490.0
Apple iPad Air 8 M4 11inch 256GB Cell,Apple,Ipad Air,256.0,8.0,WiFi / Standard,11 Inch,Brand New,Colombo,393990.0
Apple iPad Air 8 M4 11 128GB WIFI,Apple,Ipad Air,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,253990.0
Apple iPad Air 7 M3 11 256GB WIFI,Apple,Ipad Air,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,258990.0
Apple iPad Air 7 M3 11 256GB Cellular,Apple,Ipad Air,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,294490.0
Apple iPad Air 7 M3 11 128GB Cellular,Apple,Ipad Air,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,239490.0
Apple iPad A16 11th Gen 128GB,Apple,Ipad,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,193990.0
Honor Pad X9,Honor,Pad X9,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,68000.0
Apple iPad 11th Gen (A16) 128GB,Apple,Ipad,128.0,6.0,WiFi / Standard,10.0 Inch,Used,Kalutara,129900.0
TAB S9FE plus 5G 8GB 128GB,Other,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Used,Gampaha,115900.0
HUION INSPIROY RTP-700 PEN TABLET,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,30000.0
Apple iPad 7th Gen ( Wi-Fi + Cellular ),Apple,Ipad 7,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Kalutara,39500.0
Xiaomi Pad Pro 5G 8GB|256GB,Xiaomi,Mi Pad,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,126990.0
Xiaomi Pad Pro 5G 6GB|128GB|07,Xiaomi,Mi Pad,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,114490.0
Redmi Pad 2 8GB|256GB,Redmi,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,92990.0
Redmi Pad 2 4GB|128GB,Redmi,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,70490.0
Honor Tab X7 4GB/128GB|07,Honor,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,46990.0
Honor Tab X8b 4GB/128GB,Honor,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,86990.0
Honor Tab X9A 8GB|256GB,Honor,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,104990.0
Honor Tab X9A 8GB|256GB,Honor,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,111490.0
Oscal Pad 200 6GB|256GB,Other,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,82990.0
Oscal Tab Bolt 2 4GB|128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,64990.0
Oscal Pad 9 4GB|128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Oscal Pad 7 4GB|128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Blackview Tab Zeno 5 8GB|128GB,Blackview,Zeno 5,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,65990.0
Apple iPad 7th Gen ( Wi-Fi + Cellular ),Apple,Ipad 7,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Kalutara,68900.0
Blackview Tab Mega 2 12GB|256GB,Blackview,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,87490.0
Blackview Tab Zeno 10 6GB|128GB,Blackview,Zeno 10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,74990.0
Blackview Tab 60 Pro 4GB|128GB,Blackview,Tab 60,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,57990.0
Blackview Tab Link 2 WIFI 4GB|128GB,Blackview,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,41490.0
Greentel Tab A10 Pro 4GB|128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,51990.0
Greentel Tab A9 Pro 4GB|64GB,Other,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,37990.0
Samsung Galaxy Tab S10 FE Plus WIFI 128GB,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 FE Plus 5G 8GB|256GB,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,232490.0
Samsung Galaxy Tab S10 FE Plus 5G 8GB|128GB,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy Tab S10 FE 5G 12GB|256GB|07,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
Samsung Galaxy Tab S10 FE WIFI 12GB|256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,153990.0
Samsung Galaxy Tab S10 FE 5G 8GB|128GB,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,157990.0
Samsung Galaxy Tab S10 FE WIFI 8GB|128GB,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,124990.0
Samsung Galaxy Tab S10 Lite 5G 8GB|256GB|07,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,146490.0
Samsung Galaxy Tab S10 Lite 5G 6GB|128GB,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,123490.0
Samsung Galaxy Tab S10 Lite WIFI 8GB|256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy Tab S10 Lite WIFI 6GB|128GB,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,99990.0
Samsung Galaxy Tab A11 Plus 5G 6GB/128GB,Samsung,Galaxy Tab A11,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,81490.0
Samsung Galaxy Tab A11 4GB|64GB,Samsung,Galaxy Tab A11,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,49490.0
Samsung Galaxy Tab A11 8GB|128GB,Samsung,Galaxy Tab A11,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,65990.0
I Pad 11,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Galle,85000.0
Samsung Galaxy Tab S6 Lite,Samsung,Galaxy Tab S6,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Ratnapura,89000.0
BLACKVIEW ZENO 10 6GB/128GB 04,Blackview,Zeno 10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,75990.0
BLACKVIEW MEGA 2 12GB/256GB 03,Blackview,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,88490.0
BLACKVIEW TAB 60 PRO 4GB/128GB 04,Blackview,Tab 60,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,57990.0
Galaxy S10 FE Plus 5G 256GB,Other,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,232490.0
Samsung Galaxy S10 FE Plus 5G 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy S10 FE Plus Wifi 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,172490.0
SAMSUNG S10 FE 5G 12GB/256GB 04,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
Samsung Galaxy S10 FE,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,153990.0
SAMSUNG S10 FE 5G 8GB/128GB 04,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,157990.0
SAMSUNG S10 FE WIFI 8GB/128GB 03,Samsung,Standard Tablet,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,124990.0
Samsung Galaxy S10 Lite 5G 8GB/256GB,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,146490.0
Samsung Galaxy S10 Lite WIFI 8GB/256GB,Samsung,Standard Tablet,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy S10 LITE 5G 6GB/128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,123490.0
Samsung Galaxy S10 Lite Wifi 6GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,99990.0
Samsung Galaxy A11 Plus 5G 6GB/128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,81490.0
Samsung Galaxy A11 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,66990.0
Samsung Galaxy Tab A8,Samsung,Galaxy Tab A8,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kalutara,29000.0
Samsung Galaxy A11 4GB/64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,49490.0
HONOR X7 4GB/128GB,Honor,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,47990.0
Honor X8B 4GB/128GB,Honor,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,87990.0
Honor X9A With Cover 8GB/256GB,Honor,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,105990.0
Apple iPad Air 4th Gen 64GB,Apple,Ipad Air,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Kalutara,104500.0
HONOR X9A With Pen 8GB/256GB,Honor,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,112490.0
BLACKVIEW ZENO 5 8GB/128GB,Blackview,Zeno 5,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,66990.0
BLACKVIEW TAB 60 PRO 4GB/128GB,Blackview,Tab 60,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,57990.0
BLACKVIEW LINK 2 WIFI 4GB/128GB,Blackview,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,42490.0
Xiaomi Redmi Pad Pro 5G 8GB/256GB,Xiaomi,Redmi Pad Pro,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,127990.0
Xiaomi Redmi Pad Pro 5G 6GB/128GB,Xiaomi,Redmi Pad Pro,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,115490.0
Xiaomi Redmi Pad 2 8GB/256GB,Xiaomi,Redmi Pad,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,93990.0
Honor Pad X9A 16GB 8/256GB,Honor,Pad X9,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,102500.0
11'' Redmi Pad 2 4G 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,4G LTE / SIM,11 Inch,Brand New,Gampaha,87950.0
IPad For Students,Apple,Ipad,64.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,250000.0
XIAOMI REDMI PAD 2 4GB/128GB,Xiaomi,Redmi Pad,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,71490.0
OSSCAL PAD 200 6GB/256GB,Other,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,83990.0
OSCAL PAD 9 4GB/128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Oscal Pad 7 4GB/128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Apple iPad Mini A17 Pro 128GB Wi-Fi,Apple,Ipad Mini,128.0,6.0,WiFi / Standard,10.0 Inch,Used,Jaffna,130000.0
Apple iPad A16,Apple,Ipad,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,119000.0
Samsung Galaxy Tab A11+ 5G,Samsung,Galaxy Tab A11,64.0,4.0,5G + WiFi,10.0 Inch,Brand New,Jaffna,79000.0
Honor Pad X8a,Honor,Pad X8,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Other,40000.0
Samsung Galaxy Tab A9,Samsung,Galaxy Tab A9,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kalutara,45000.0
Huawei MatePad T 3GB/64GB,Huawei,Matepad,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Colombo,35000.0
Apple iPad mini 4,Apple,Ipad Mini,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kalutara,24000.0
Apple iPad 11th Gen A16 128GB wifi Silver,Apple,Ipad,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,149900.0
Apple iPad Air 11 inch M4 Chip 128GB WIFi purple,Apple,Ipad Air,128.0,6.0,WiFi Only,11 Inch,Brand New,Colombo,253900.0
Blackview Tab 60 Pro,Blackview,Tab 60,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Other,40000.0
Blackview Tab 60 Pro,Blackview,Tab 60,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Other,40000.0
Apple iPad 11th Gen A16 128GB wifi+Cellular Silver,Apple,Ipad,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,189900.0
Honor Pad X9a 8GB 256GB,Honor,Pad X9,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Gampaha,102500.0
Apple iPad Air 2 Cellular,Apple,Ipad Air,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Colombo,35000.0
Samsung Galaxy S10 Lite 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124508.0
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103480.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99450.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59800.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45180.0
Samsung Galaxy Tab S11 12GB 256GB,Samsung,Galaxy Tab,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,249990.0
Apple iPad Air,Apple,Ipad Air,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,20000.0
Samsung Tab 4 4G,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Kalutara,7500.0
Redmi Pad 2 Pro 5G,Redmi,Standard Tablet,64.0,4.0,5G + WiFi,10.0 Inch,Used,Other,135000.0
Apple iPad (M3) 11-inch Cellular,Apple,Ipad,64.0,4.0,4G LTE / SIM,11 Inch,Brand New,Colombo,279900.0
Apple iPad Air M3 11 128GB Wi+Cellular,Apple,Ipad Air,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,279900.0
Apple iPad Pro 13inch(wifi+cellular) 128GB With Keyboard Folio (USED),Apple,Ipad Pro,128.0,6.0,4G LTE / SIM,13 Inch,Used,Kurunegala,200000.0
iPad Mini 6 64GB WiFi,Apple,Ipad Mini,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Kandy,49999.0
Samsung A8tab,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kalutara,28500.0
Blackview Zeno 10 5G 8GB 128GB Ai Tablet,Blackview,Zeno 10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Gampaha,74500.0
Brand New Condition,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,25000.0
Apple iPad Pro M5 13” 512GB Cellular,Apple,Ipad Pro,512.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,519000.0
Apple MacBook Neo 8/512 13” Citrus,Apple,Standard Tablet,512.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,279000.0
Samsung Galaxy Tab A,Samsung,Galaxy Tab,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,17500.0
Apple MacBook Neo 8/256 13” Blush,Apple,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,251000.0
Apple iPad Pro M5 13 256GB Cellular,Apple,Ipad Pro,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,442000.0
Apple iPad Pro M5 11” 256GB Cellular,Apple,Ipad Pro,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,429000.0
Apple iPad Pro M5 11” 256GB Wi-Fi,Apple,Ipad Pro,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,389000.0
Apple iPad Air 8 M4 13” 128GB Cellular,Apple,Ipad Air,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,293000.0
Apple iPad Air 8 M4 13” 128GB Wi-Fi,Apple,Ipad Air,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,288000.0
Apple iPad Air 8 M4 11” 256GB Cellular,Apple,Ipad Air,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,386000.0
Apple iPad Air 8 M4 11” 128GB Cellular,Apple,Ipad Air,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,283000.0
Apple Air 8 M4 11” 128GB WiFi,Apple,Standard Tablet,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,243000.0
Apple iPad Air 7 M3 11” 256GB Cellular,Apple,Ipad Air,256.0,8.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,275000.0
Apple iPad A16 256GB Wi-Fi,Apple,Ipad,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,185000.0
Apple iPad A16 128GB Cellular,Apple,Ipad,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,185000.0
Apple iPad A16 128GB Wi-Fi,Apple,Ipad,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,149500.0
Samsung Galaxy S10 Lite 6/128GB SIM,Samsung,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,121999.0
Samsung Galaxy S10 Lite 6/128GB WIFI,Samsung,Standard Tablet,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,99999.0
Samsung Galaxy Tab S10 FE 8/128GB,Samsung,Galaxy Tab S10,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,123999.0
Samsung Galaxy S10 FE 12/256GB SIM,Samsung,Standard Tablet,256.0,12.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,194999.0
Redmi Pad Pro 5G 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,124500.0
11'' Redmi Pad 2 4G 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,4G LTE / SIM,11 Inch,Brand New,Gampaha,87950.0
Samsung Galaxy S10 FE PLUS 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,156480.0
Samsung Galaxy S10 FE Plus 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,194990.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,152480.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,114805.0
Samsung Galaxy S10 Lite 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124801.0
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103458.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99480.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59480.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45180.0
Ipad Air 2 Cellular,Apple,Ipad Air,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Ratnapura,40000.0
Lenovo Tab,Lenovo,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,60000.0
Samsung Galaxy S11 12GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,219000.0
Samsung Galaxy S11 5G 12/256GB with Keyboard,Samsung,Standard Tablet,256.0,12.0,5G + WiFi,10.0 Inch,Brand New,Colombo,349000.0
Samsung Galaxy S11 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,258000.0
Samsung Galaxy S11 Ultra 12/256GB with keyboard,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,389000.0
Samsung Galaxy S11 Ultra 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,339000.0
Samsung Galaxy S10 Lite 5G 6/128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,129000.0
Galaxy S10 plus 12/256 with keyboard,Other,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,265000.0
Samsung Galaxy S10 Lite 8/256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,129000.0
Samsung Galaxy S10 Lite 6/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,101000.0
Samsung Galaxy S6 Lite 4/128GB,Samsung,Standard Tablet,128.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,89000.0
